date-fixed,source,content,date,retweet_count,favorite_count,is_retweet,id_str,date-fixed,tweet_minute,tweet_freq,stock_price_tweet,stock_time,stock_price_post,delta_price,delta_price_class
2020-07-11 14:44:28,Twitter for iPhone,RT @GreggJarrett: Pelosi Shrugs Off Mobs ‘People Will Do What They Do’ Tells Young People Everything We Do is ‘About You’ https://t.co/WVS…,2020-07-11 18:44:28,4728,0,True,1282022963987054592,2020-07-11 14:44:28,2020-07-11 14:45:00,0 days 00:00:31.000000000,-999.0,2020-07-11 15:45:00,-999.0,0.0,no change
2020-07-11 14:43:57,Twitter for iPhone,RT @GreggJarrett: Trump right to commute Roger Stone’s sentence – Stone committed no crime was framed by Mueller https://t.co/ROoXIMUh6w,2020-07-11 18:43:57,8574,0,True,1282022835867791361,2020-07-11 14:43:57,2020-07-11 14:44:00,0 days 00:00:10.000000000,-999.0,2020-07-11 15:44:00,-999.0,0.0,no change
2020-07-11 14:43:47,Twitter for iPhone,RT @GreggJarrett: Biased anti-Flynn rogue judge exceeds authority by refusing to dismiss wrongful charges https://t.co/rPVJHXxLba,2020-07-11 18:43:47,6188,0,True,1282022791857025025,2020-07-11 14:43:47,2020-07-11 14:44:00,0 days 00:00:52.000000000,-999.0,2020-07-11 15:44:00,-999.0,0.0,no change
2020-07-11 14:42:55,Twitter for iPhone,RT @TVNewsHQ: Fox News’ @GreggJarrett on President Trump’s commutation of Roger Stone sentence: “A courageous move.. it was an unjust sente…,2020-07-11 18:42:55,3612,0,True,1282022576441700356,2020-07-11 14:42:55,2020-07-11 14:43:00,0 days 05:26:55.000000000,-999.0,2020-07-11 15:43:00,-999.0,0.0,no change
2020-07-11 09:16:00,Twitter for iPhone,RT @realDonaldTrump: President Trump Approval Rating in the Republican Party at 96%. Thank You!,2020-07-11 13:16:00,39286,0,True,1281940302782136320,2020-07-11 09:16:00,2020-07-11 09:16:00,0 days 00:00:42.000000000,-999.0,2020-07-11 10:16:00,-999.0,0.0,no change
2020-07-11 09:15:18,Twitter for iPhone,RT @realDonaldTrump: ....Absentee Ballots are fine because you have to go through a precise process to get your voting privilege. Not so wi…,2020-07-11 13:15:18,20598,0,True,1281940128550858752,2020-07-11 09:15:18,2020-07-11 09:16:00,0 days 00:00:10.000000000,-999.0,2020-07-11 10:16:00,-999.0,0.0,no change
2020-07-11 09:15:08,Twitter for iPhone,RT @realDonaldTrump: Mail-In Ballot fraud found in many elections. People are just now seeing how bad dishonest and slow it is. Election r…,2020-07-11 13:15:08,34447,0,True,1281940084460343298,2020-07-11 09:15:08,2020-07-11 09:16:00,0 days 00:00:27.000000000,-999.0,2020-07-11 10:16:00,-999.0,0.0,no change
2020-07-11 09:14:41,Twitter for iPhone,RT @realDonaldTrump: Too many Universities and School Systems are about Radical Left Indoctrination not Education. Therefore I am telling…,2020-07-11 13:14:41,74315,0,True,1281939972258439169,2020-07-11 09:14:41,2020-07-11 09:15:00,0 days 00:00:03.000000000,-999.0,2020-07-11 10:15:00,-999.0,0.0,no change
2020-07-11 09:14:38,Twitter for iPhone,RT @realDonaldTrump: ... and/or Funding which will be taken away if this Propaganda or Act Against Public Policy continues. Our children m…,2020-07-11 13:14:38,35216,0,True,1281939961860829184,2020-07-11 09:14:38,2020-07-11 09:15:00,0 days 00:01:42.000000000,-999.0,2020-07-11 10:15:00,-999.0,0.0,no change
2020-07-11 09:12:56,Twitter for iPhone,RT @realDonaldTrump: I LOVE @GoyaFoods!,2020-07-11 13:12:56,55657,0,True,1281939533735624704,2020-07-11 09:12:56,2020-07-11 09:13:00,0 days 00:00:42.000000000,-999.0,2020-07-11 10:13:00,-999.0,0.0,no change
